sweep,size,algorithm,probability_numerator,probability_denominator,probability,seed,request_id,status,message_correct,sender_note,received_bits,source_bits,redundancy_bits,reported_flipped_bits,detected_units,corrected_bits,uncorrectable_units,overhead_ratio
main,8,crc32-iso-hdlc,0,1,0.0,0,main-1,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,0,1,0.0,1,main-2,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,0,1,0.0,2,main-3,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,0,1,0.0,3,main-4,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,0,1,0.0,4,main-5,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,0,1,0.0,5,main-6,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,0,1,0.0,6,main-7,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,0,1,0.0,7,main-8,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,0,1,0.0,8,main-9,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,0,1,0.0,9,main-10,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,0,1,0.0,10,main-11,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,0,1,0.0,11,main-12,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,0,1,0.0,12,main-13,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,0,1,0.0,13,main-14,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,0,1,0.0,14,main-15,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,0,1,0.0,15,main-16,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,0,1,0.0,16,main-17,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,0,1,0.0,17,main-18,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,0,1,0.0,18,main-19,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,0,1,0.0,19,main-20,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100000,1e-05,0,main-21,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100000,1e-05,1,main-22,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100000,1e-05,2,main-23,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100000,1e-05,3,main-24,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100000,1e-05,4,main-25,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100000,1e-05,5,main-26,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100000,1e-05,6,main-27,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100000,1e-05,7,main-28,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100000,1e-05,8,main-29,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100000,1e-05,9,main-30,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100000,1e-05,10,main-31,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100000,1e-05,11,main-32,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100000,1e-05,12,main-33,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100000,1e-05,13,main-34,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100000,1e-05,14,main-35,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100000,1e-05,15,main-36,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100000,1e-05,16,main-37,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100000,1e-05,17,main-38,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100000,1e-05,18,main-39,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,100000,1e-05,19,main-40,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,10000,0.0001,0,main-41,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,10000,0.0001,1,main-42,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,10000,0.0001,2,main-43,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,10000,0.0001,3,main-44,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,10000,0.0001,4,main-45,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,10000,0.0001,5,main-46,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,10000,0.0001,6,main-47,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,10000,0.0001,7,main-48,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,10000,0.0001,8,main-49,ok,True,,96,64,32,0,0,0,0,0.5
main,8,crc32-iso-hdlc,1,10000,0.0001,9,main-50,ok,True,,96,64,32,0,0,0,0,0.5
