size,algorithm,probability_numerator,probability_denominator,probability,n,ok_rate,corrected_rate,uncorrectable_rate,mean_detected_units,mean_corrected_bits,mean_uncorrectable_units,mean_overhead_ratio,silent_corruption,success_rate
8,crc32-iso-hdlc,0,1,0.0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1.0
8,crc32-iso-hdlc,1,100000,1e-05,20,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0,1.0
8,crc32-iso-hdlc,1,10000,0.0001,20,0.95,0.0,0.05,0.05,0.0,0.05,0.5,0,0.95
8,crc32-iso-hdlc,1,1000,0.001,20,0.75,0.0,0.25,0.25,0.0,0.25,0.5,0,0.75
8,crc32-iso-hdlc,1,200,0.005,20,0.65,0.0,0.35,0.35,0.0,0.35,0.5,0,0.65
8,crc32-iso-hdlc,1,100,0.01,20,0.35,0.0,0.65,0.65,0.0,0.65,0.5,0,0.35
8,crc32-iso-hdlc,1,50,0.02,20,0.15,0.0,0.85,0.85,0.0,0.85,0.5,0,0.15
8,crc32-iso-hdlc,1,20,0.05,20,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0,0.0
8,crc32-iso-hdlc,1,10,0.1,20,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0,0.0
8,hamming-secded-13-8,0,1,0.0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.625,0,1.0
8,hamming-secded-13-8,1,100000,1e-05,20,1.0,0.0,0.0,0.0,0.0,0.0,0.625,0,1.0
8,hamming-secded-13-8,1,10000,0.0001,20,0.95,0.05,0.0,0.05,0.05,0.0,0.625,0,1.0
8,hamming-secded-13-8,1,1000,0.001,20,0.7,0.3,0.0,0.3,0.3,0.0,0.625,0,1.0
8,hamming-secded-13-8,1,200,0.005,20,0.55,0.45,0.0,0.7,0.7,0.0,0.625,0,1.0
8,hamming-secded-13-8,1,100,0.01,20,0.3,0.7,0.0,1.3,1.3,0.0,0.625,0,1.0
8,hamming-secded-13-8,1,50,0.02,20,0.1,0.75,0.15,2.3,2.1,0.2,0.625,0,0.85
8,hamming-secded-13-8,1,20,0.05,20,0.0,0.3,0.7,4.15,3.2,0.95,0.625,0,0.3
8,hamming-secded-13-8,1,10,0.1,20,0.0,0.0,1.0,5.9,3.6,2.3,0.625,0,0.0
32,crc32-iso-hdlc,0,1,0.0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0,1.0
32,crc32-iso-hdlc,1,100000,1e-05,20,1.0,0.0,0.0,0.0,0.0,0.0,0.125,0,1.0
32,crc32-iso-hdlc,1,10000,0.0001,20,0.95,0.0,0.05,0.05,0.0,0.05,0.125,0,0.95
32,crc32-iso-hdlc,1,1000,0.001,20,0.4,0.0,0.6,0.6,0.0,0.6,0.125,0,0.4
32,crc32-iso-hdlc,1,200,0.005,20,0.15,0.0,0.85,0.85,0.0,0.85,0.125,0,0.15
32,crc32-iso-hdlc,1,100,0.01,20,0.05,0.0,0.95,0.95,0.0,0.95,0.125,0,0.05
32,crc32-iso-hdlc,1,50,0.02,20,0.0,0.0,1.0,1.0,0.0,1.0,0.125,0,0.0
32,crc32-iso-hdlc,1,20,0.05,20,0.0,0.0,1.0,1.0,0.0,1.0,0.125,0,0.0
32,crc32-iso-hdlc,1,10,0.1,20,0.0,0.0,1.0,1.0,0.0,1.0,0.125,0,0.0
32,hamming-secded-13-8,0,1,0.0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.625,0,1.0
32,hamming-secded-13-8,1,100000,1e-05,20,1.0,0.0,0.0,0.0,0.0,0.0,0.625,0,1.0
32,hamming-secded-13-8,1,10000,0.0001,20,0.95,0.05,0.0,0.05,0.05,0.0,0.625,0,1.0
32,hamming-secded-13-8,1,1000,0.001,20,0.3,0.7,0.0,0.85,0.85,0.0,0.625,0,1.0
32,hamming-secded-13-8,1,200,0.005,20,0.1,0.75,0.15,2.3,2.15,0.15,0.625,0,0.85
32,hamming-secded-13-8,1,100,0.01,20,0.0,0.8,0.2,4.3,4.0,0.3,0.625,0,0.8
32,hamming-secded-13-8,1,50,0.02,20,0.0,0.4,0.6,8.05,7.05,1.0,0.625,0,0.4
32,hamming-secded-13-8,1,20,0.05,20,0.0,0.0,1.0,16.85,12.3,4.55,0.625,0,0.0
32,hamming-secded-13-8,1,10,0.1,20,0.0,0.0,1.0,24.35,14.65,9.7,0.625,0,0.0
128,crc32-iso-hdlc,0,1,0.0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.03125,0,1.0
128,crc32-iso-hdlc,1,100000,1e-05,20,1.0,0.0,0.0,0.0,0.0,0.0,0.03125,0,1.0
128,crc32-iso-hdlc,1,10000,0.0001,20,0.9,0.0,0.1,0.1,0.0,0.1,0.03125,0,0.9
128,crc32-iso-hdlc,1,1000,0.001,20,0.2,0.0,0.8,0.8,0.0,0.8,0.03125,0,0.2
128,crc32-iso-hdlc,1,200,0.005,20,0.0,0.0,1.0,1.0,0.0,1.0,0.03125,0,0.0
128,crc32-iso-hdlc,1,100,0.01,20,0.0,0.0,1.0,1.0,0.0,1.0,0.03125,0,0.0
128,crc32-iso-hdlc,1,50,0.02,20,0.0,0.0,1.0,1.0,0.0,1.0,0.03125,0,0.0
128,crc32-iso-hdlc,1,20,0.05,20,0.0,0.0,1.0,1.0,0.0,1.0,0.03125,0,0.0
128,crc32-iso-hdlc,1,10,0.1,20,0.0,0.0,1.0,1.0,0.0,1.0,0.03125,0,0.0
128,hamming-secded-13-8,0,1,0.0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.625,0,1.0
128,hamming-secded-13-8,1,100000,1e-05,20,1.0,0.0,0.0,0.0,0.0,0.0,0.625,0,1.0
128,hamming-secded-13-8,1,10000,0.0001,20,0.9,0.1,0.0,0.1,0.1,0.0,0.625,0,1.0
128,hamming-secded-13-8,1,1000,0.001,20,0.05,0.95,0.0,2.1,2.1,0.0,0.625,0,1.0
128,hamming-secded-13-8,1,200,0.005,20,0.0,0.8,0.2,8.25,8.05,0.2,0.625,0,0.8
128,hamming-secded-13-8,1,100,0.01,20,0.0,0.2,0.8,16.6,15.55,1.05,0.625,0,0.2
128,hamming-secded-13-8,1,50,0.02,20,0.0,0.0,1.0,30.05,26.45,3.6,0.625,0,0.0
128,hamming-secded-13-8,1,20,0.05,20,0.0,0.0,1.0,64.55,48.8,15.75,0.625,0,0.0
128,hamming-secded-13-8,1,10,0.1,20,0.0,0.0,1.0,97.0,57.9,39.1,0.625,0,0.0
512,crc32-iso-hdlc,0,1,0.0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0,1.0
512,crc32-iso-hdlc,1,100000,1e-05,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0,1.0
512,crc32-iso-hdlc,1,10000,0.0001,20,0.7,0.0,0.3,0.3,0.0,0.3,0.0078125,0,0.7
512,crc32-iso-hdlc,1,1000,0.001,20,0.05,0.0,0.95,0.95,0.0,0.95,0.0078125,0,0.05
512,crc32-iso-hdlc,1,200,0.005,20,0.0,0.0,1.0,1.0,0.0,1.0,0.0078125,0,0.0
512,crc32-iso-hdlc,1,100,0.01,20,0.0,0.0,1.0,1.0,0.0,1.0,0.0078125,0,0.0
512,crc32-iso-hdlc,1,50,0.02,20,0.0,0.0,1.0,1.0,0.0,1.0,0.0078125,0,0.0
512,crc32-iso-hdlc,1,20,0.05,20,0.0,0.0,1.0,1.0,0.0,1.0,0.0078125,0,0.0
512,crc32-iso-hdlc,1,10,0.1,20,0.0,0.0,1.0,1.0,0.0,1.0,0.0078125,0,0.0
512,hamming-secded-13-8,0,1,0.0,20,1.0,0.0,0.0,0.0,0.0,0.0,0.625,0,1.0
512,hamming-secded-13-8,1,100000,1e-05,20,1.0,0.0,0.0,0.0,0.0,0.0,0.625,0,1.0
512,hamming-secded-13-8,1,10000,0.0001,20,0.45,0.55,0.0,0.65,0.65,0.0,0.625,0,1.0
512,hamming-secded-13-8,1,1000,0.001,20,0.0,0.85,0.15,6.25,6.1,0.15,0.625,0,0.85
512,hamming-secded-13-8,1,200,0.005,20,0.0,0.15,0.85,31.65,30.5,1.15,0.625,0,0.15
512,hamming-secded-13-8,1,100,0.01,20,0.0,0.05,0.95,65.1,61.15,3.95,0.625,0,0.05
512,hamming-secded-13-8,1,50,0.02,20,0.0,0.0,1.0,119.3,105.1,14.2,0.625,0,0.0
512,hamming-secded-13-8,1,20,0.05,20,0.0,0.0,1.0,253.9,193.2,60.7,0.625,0,0.0
512,hamming-secded-13-8,1,10,0.1,20,0.0,0.0,1.0,383.9,232.5,151.4,0.625,0,0.0
