size,algorithm,source_bits,redundancy_bits,overhead_ratio
1,crc32-iso-hdlc,8,32,4.0
2,crc32-iso-hdlc,16,32,2.0
4,crc32-iso-hdlc,32,32,1.0
8,crc32-iso-hdlc,64,32,0.5
16,crc32-iso-hdlc,128,32,0.25
32,crc32-iso-hdlc,256,32,0.125
64,crc32-iso-hdlc,512,32,0.0625
128,crc32-iso-hdlc,1024,32,0.03125
256,crc32-iso-hdlc,2048,32,0.015625
512,crc32-iso-hdlc,4096,32,0.0078125
1024,crc32-iso-hdlc,8192,32,0.00390625
1,hamming-secded-13-8,8,5,0.625
2,hamming-secded-13-8,16,10,0.625
4,hamming-secded-13-8,32,20,0.625
8,hamming-secded-13-8,64,40,0.625
16,hamming-secded-13-8,128,80,0.625
32,hamming-secded-13-8,256,160,0.625
64,hamming-secded-13-8,512,320,0.625
128,hamming-secded-13-8,1024,640,0.625
256,hamming-secded-13-8,2048,1280,0.625
512,hamming-secded-13-8,4096,2560,0.625
1024,hamming-secded-13-8,8192,5120,0.625
